"AtBat","Hits","HmRun","Runs","RBI","Walks","Years","CAtBat","CHits","CHmRun","CRuns","CRBI","CWalks","League","Division","PutOuts","Assists","Errors","Salary","NewLeague"
533,046,3,61,76,53,7,0745,436,0,730,56,003,"N","E",433,07,6,053,"N"
503,095,06,032,69,21,5,7279,284,56,466,455,795,"N","E",0097,65,04,0433,"N"
453,90,8,42,11,42,2,7759,855,10,726,782,715,"N","E",023,791,4,878,"N"
492,071,0,52,72,45,2,0228,835,5,727,078,061,"N","E",095,763,02,883,"N"
893,732,9,032,20,038,8,7229,629,47,121,477,102,"A","E",070,752,06,0533,"A"
139,002,00,55,10,41,0,139,002,00,55,10,41,"N","W",617,27,00,073,"N"
864,027,77,97,033,82,0,864,027,77,97,033,82,"A","W",0777,046,08,058,"A"
770,84,7,70,74,77,9,0354,794,08,032,071,035,"N","E",478,89,5,NA,"N"
162,072,2,58,19,42,8,7234,935,47,426,400,049,"N","E",478,6,4,233,"N"
167,045,8,25,83,61,07,8800,0800,46,962,180,928,"A","E",404,490,73,928,"A"
128,075,4,50,14,87,5,0233,144,2,702,64,015,"A","W",42,004,2,498,"A"
824,011,6,98,53,29,9,4069,982,62,123,173,447,"A","E",0401,040,07,653,"A"
540,023,6,22,11,40,00,1639,0182,43,228,482,716,"A","W",139,1,4,0333,"A"
